,0,1,2
0,metrics,Movielens Small,Movielens Large
1,RMSE,0.9165634648728727,0.8103420898435425
2,Val Mean Average Precision,0.0003216058930049994,9.91065824454492e-06
3,Val Average Precision,0.005594405594405595,8.366577803469102e-06
4,Val NDCG,0.005131985801732425,1.520127417281878e-05
5,Val Average Recall,0.00019246589163083786,1.3389117577269308e-05
6,Test Mean Average Precision,0.00041876403532256434,1.1385886586450231e-05
7,Test Average Precision,0.003076923076923077,9.887322551081344e-06
8,Test NDCG,0.002555138145732898,1.865572122533339e-05
9,Test Average Recall,0.00019181873933005154,1.581697497323456e-05
